iter	Passed	Remaining
484	591	628
485	592	626
486	593	624
487	594	623
488	594	621
489	595	619
490	596	618
491	598	617
492	599	616
493	600	615
494	601	613
495	602	611
496	602	609
497	603	608
498	604	606
499	605	605
500	605	603
501	606	601
502	607	599
503	607	598
504	608	596
505	609	594
506	609	593
507	611	591
508	613	591
509	614	590
510	615	588
511	616	587
512	617	586
513	618	585
514	619	583
515	620	582
516	621	580
517	622	579
518	623	577
519	624	576
520	625	575
521	626	574
522	628	573
523	629	571
524	630	570
525	631	568
526	632	567
527	634	566
528	635	565
529	635	563
530	636	562
531	638	561
532	638	559
533	642	560
534	643	559
535	644	558
536	645	556
537	647	555
538	648	554
539	649	553
540	650	551
541	651	550
542	651	548
543	652	547
544	653	545
545	654	544
546	657	544
547	658	543
548	659	541
549	660	540
550	661	538
551	662	537
552	663	536
553	664	534
554	665	533
555	666	532
556	667	530
557	668	529
558	670	528
559	671	527
560	672	526
561	673	525
562	674	523
563	675	522
564	676	520
565	677	519
566	677	517
567	678	515
568	679	514
569	679	512
570	680	511
571	681	509
572	681	508
573	682	506
574	683	505
575	685	504
576	687	503
577	688	502
578	689	501
579	691	500
580	692	499
581	694	498
582	695	497
583	696	495
584	697	494
585	700	494
586	701	493
587	702	492
588	703	490
589	704	489
590	705	488
591	707	487
592	708	486
593	709	485
594	710	483
595	711	482
596	712	481
597	714	480
598	715	479
599	716	477
600	717	476
601	718	474
602	719	473
603	720	472
604	721	470
605	722	469
606	722	468
607	723	466
608	724	465
609	725	463
610	726	462
611	728	461
612	729	460
613	730	459
614	731	457
615	732	456
616	733	455
617	734	453
618	735	452
619	736	451
620	738	450
621	740	449
622	743	449
623	745	449
624	747	448
625	751	448
626	756	450
627	764	452
628	765	451
629	767	450
630	768	449
631	770	448
632	777	450
633	779	449
634	782	449
635	785	449
636	787	448
637	793	450
638	796	450
639	798	448
640	803	449
641	804	448
642	805	447
643	806	445
644	807	444
645	808	442
646	809	441
647	810	440
648	810	438
649	811	437
650	812	435
651	816	435
652	817	434
653	818	432
654	818	431
655	819	429
656	820	428
657	821	426
658	822	425
659	823	424
660	823	422
661	824	421
662	825	419
663	827	418
664	830	418
665	831	417
666	832	415
667	833	414
668	834	413
669	835	411
670	836	410
671	837	408
672	838	407
673	839	406
674	840	404
675	841	403
676	841	401
677	844	401
678	845	399
679	846	398
680	846	396
681	847	395
682	848	393
683	849	392
684	850	391
685	851	389
686	852	388
687	852	386
688	853	385
689	854	383
690	855	382
691	856	381
692	859	380
693	860	379
694	861	378
695	862	376
696	863	375
697	865	374
698	866	373
699	867	371
700	868	370
701	868	368
702	869	367
703	870	366
704	873	365
705	874	364
706	875	362
707	877	361
708	878	360
709	879	359
710	881	358
711	882	357
712	883	355
713	889	356
714	891	355
715	893	354
716	895	353
717	898	352
718	900	352
719	902	350
720	903	349
721	904	348
722	905	346
723	906	345
724	907	344
725	909	343
726	910	342
727	913	341
728	916	340
729	917	339
730	919	338
731	923	338
732	926	337
733	927	336
734	928	334
735	935	335
736	936	334
737	938	333
738	940	332
739	941	330
740	943	329
741	950	330
742	954	330
743	955	328
744	957	327
745	959	326
746	964	326
747	967	325
748	971	325
749	973	324
750	978	324
751	991	326
752	995	326
753	997	325
754	998	324
755	1001	323
756	1002	321
757	1003	320
758	1005	319
759	1007	318
760	1009	316
761	1010	315
762	1011	314
763	1013	312
764	1014	311
765	1015	310
766	1017	308
767	1019	308
768	1023	307
769	1024	306
770	1026	304
771	1027	303
772	1029	302
773	1031	301
774	1033	300
775	1034	298
776	1038	298
777	1040	296
778	1041	295
779	1043	294
780	1045	293
781	1047	291
782	1048	290
783	1052	290
784	1054	288
785	1056	287
786	1057	286
787	1059	284
788	1061	283
789	1063	282
790	1064	281
791	1065	279
792	1068	279
793	1070	277
794	1071	276
795	1074	275
796	1075	273
797	1076	272
798	1078	271
799	1082	270
800	1084	269
801	1085	267
802	1086	266
803	1086	264
804	1087	263
805	1088	262
806	1089	260
807	1090	259
808	1091	257
809	1091	256
810	1092	254
811	1093	253
812	1095	251
813	1097	250
814	1098	249
815	1099	247
816	1100	246
817	1101	244
818	1101	243
819	1102	242
820	1103	240
821	1104	239
822	1105	237
823	1106	236
824	1107	234
825	1108	233
826	1112	232
827	1114	231
828	1115	230
829	1117	228
830	1118	227
831	1119	226
832	1121	224
833	1122	223
834	1123	221
835	1128	221
836	1130	220
837	1131	218
